epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,8044.08,1.45442,0.94064,0.93588,0.8143,0.72631,0.78228,0.57164,1.41564,0.87944,0.93468,0.000169158,0.000169158,0.000169158
120,8110.93,1.44069,0.92605,0.93822,0.81475,0.72493,0.77783,0.57062,1.41625,0.87741,0.93455,0.000165608,0.000165608,0.000165608
121,8174.72,1.41543,0.92219,0.92634,0.8125,0.72567,0.78409,0.57399,1.41371,0.87853,0.93389,0.000162059,0.000162059,0.000162059
122,8239.19,1.41844,0.91807,0.92722,0.81247,0.72082,0.77698,0.57057,1.41289,0.87009,0.93325,0.000158509,0.000158509,0.000158509
123,8304.95,1.42219,0.92307,0.9318,0.85714,0.69909,0.7819,0.57248,1.41191,0.8753,0.93301,0.00015496,0.00015496,0.00015496
124,8371,1.42074,0.91436,0.92731,0.83694,0.71557,0.7779,0.56964,1.41456,0.87186,0.93415,0.00015141,0.00015141,0.00015141
125,8437.76,1.43604,0.92534,0.92857,0.81929,0.72172,0.77641,0.56866,1.41238,0.87472,0.93305,0.00014786,0.00014786,0.00014786
126,8500.11,1.4295,0.91934,0.92919,0.82997,0.72552,0.78367,0.57423,1.40618,0.87194,0.931,0.000144311,0.000144311,0.000144311
127,8567.03,1.42113,0.91967,0.9246,0.83699,0.72362,0.78124,0.57203,1.40347,0.87136,0.93223,0.000140761,0.000140761,0.000140761
128,8633.16,1.43197,0.92368,0.9292,0.8253,0.72329,0.7878,0.57614,1.40752,0.86805,0.93205,0.000137212,0.000137212,0.000137212
129,8698.37,1.40844,0.90581,0.92219,0.82782,0.728,0.78055,0.57449,1.40048,0.86568,0.93055,0.000133662,0.000133662,0.000133662
130,8763.15,1.40319,0.90473,0.923,0.83013,0.72886,0.78764,0.57709,1.40122,0.8674,0.93226,0.000130113,0.000130113,0.000130113
131,8828.06,1.44191,0.93112,0.93264,0.82325,0.72767,0.78683,0.57806,1.40172,0.86806,0.93156,0.000126563,0.000126563,0.000126563
132,8895.97,1.43866,0.93643,0.92519,0.8319,0.73498,0.78995,0.58267,1.39736,0.86299,0.93005,0.000123014,0.000123014,0.000123014
133,8962.71,1.42571,0.91863,0.92512,0.8343,0.72367,0.78895,0.57826,1.40495,0.86536,0.92975,0.000119464,0.000119464,0.000119464
134,9026.06,1.39197,0.89521,0.92514,0.86416,0.71298,0.79015,0.58378,1.3908,0.86019,0.92944,0.000115915,0.000115915,0.000115915
135,9091.87,1.41514,0.90873,0.92336,0.82307,0.73837,0.79309,0.57962,1.40756,0.86084,0.93159,0.000112365,0.000112365,0.000112365
136,9158.48,1.419,0.89701,0.92372,0.82496,0.73831,0.79255,0.57895,1.41496,0.86376,0.93329,0.000108816,0.000108816,0.000108816
137,9225.54,1.43616,0.91849,0.9301,0.81893,0.74176,0.79404,0.58342,1.39506,0.85724,0.93021,0.000105266,0.000105266,0.000105266
138,9289.2,1.43336,0.92026,0.92727,0.85191,0.72303,0.79429,0.58769,1.38628,0.85032,0.92771,0.000101717,0.000101717,0.000101717
139,9354.89,1.39927,0.8982,0.91983,0.83241,0.73238,0.79348,0.58882,1.38875,0.85303,0.92776,9.81673e-05,9.81673e-05,9.81673e-05
140,9421.48,1.40082,0.90054,0.92488,0.84932,0.72463,0.79377,0.58262,1.40055,0.85619,0.93058,9.46178e-05,9.46178e-05,9.46178e-05
141,9485.2,1.39634,0.8973,0.92256,0.84529,0.72375,0.78882,0.58356,1.38594,0.8495,0.92674,9.10683e-05,9.10683e-05,9.10683e-05
142,9550.41,1.39577,0.88835,0.92294,0.82393,0.74438,0.7943,0.58788,1.38395,0.84963,0.92767,8.75188e-05,8.75188e-05,8.75188e-05
143,9614.04,1.39265,0.89535,0.92645,0.82258,0.74428,0.79353,0.58706,1.38915,0.84656,0.92786,8.39693e-05,8.39693e-05,8.39693e-05
144,9683.71,1.39807,0.89669,0.92726,0.81436,0.73793,0.7918,0.58367,1.39325,0.85146,0.92865,8.04198e-05,8.04198e-05,8.04198e-05
145,9748.98,1.3976,0.88739,0.92827,0.8414,0.73059,0.79115,0.58328,1.39231,0.85129,0.9289,7.68702e-05,7.68702e-05,7.68702e-05
146,9816.23,1.41883,0.90149,0.92709,0.85382,0.72368,0.79467,0.58788,1.39464,0.84954,0.9283,7.33207e-05,7.33207e-05,7.33207e-05
147,9882.16,1.39509,0.8897,0.91972,0.8422,0.73276,0.79563,0.58773,1.39057,0.84694,0.92707,6.97712e-05,6.97712e-05,6.97712e-05
